x,y =  4 4 0.019548 0.004833 

x,y =  3 5 -0.000815 0.002383 

x,y =  4 6 0.012761 -0.003864 

x,y =  2 4 -0.007602 0.004833 

x,y =  3 6 -0.000815 -0.003864 

x,y =  3 4 0.005973 0.004833 

x,y =  5 7 0.033123 -0.006988 

x,y =  4 9 0.012761 -0.016360 

x,y =  2 3 -0.014390 0.007284 

x,y =  3 11 -0.000815 -0.022546 

x,y =  2 9 -0.014390 -0.016360 

x,y =  4 8 0.012761 -0.010112 

x,y =  5 4 0.033123 0.004833 

x,y =  2 5 -0.014390 0.002383 

x,y =  1 5 -0.027965 0.002383 

x,y =  3 3 -0.000815 0.007284 

x,y =  5 9 0.026336 -0.016360 

x,y =  4 3 0.012761 0.007284 

x,y =  1 3 -0.027965 0.007284 

x,y =  1 4 -0.021177 0.004833 

x,y =  2 6 -0.014390 -0.003864 

x,y =  2 8 -0.014390 -0.010112 

x,y =  2 10 -0.007602 -0.019484 

x,y =  5 3 0.026336 0.007284 

x,y =  1 7 -0.021177 -0.006988 

x,y =  1 8 -0.027965 -0.010112 

x,y =  4 5 0.012761 0.002383 

x,y =  4 10 0.019548 -0.019484 

x,y =  2 7 -0.007602 -0.006988 

x,y =  1 10 -0.021177 -0.019484 

x,y =  4 7 0.019548 -0.006988 

x,y =  5 8 0.026336 -0.010112 

x,y =  3 8 -0.000815 -0.010112 

x,y =  0 4 -0.034752 0.004833 

x,y =  4 11 0.012761 -0.022546 

x,y =  1 6 -0.027965 -0.003864 

x,y =  3 7 0.005973 -0.006988 

x,y =  1 9 -0.027965 -0.016360 

x,y =  3 9 -0.000815 -0.016360 

x,y =  0 7 -0.034752 -0.006988 

x,y =  5 6 0.026336 -0.003864 

x,y =  2 11 -0.014390 -0.022546 

x,y =  5 5 0.026336 0.002383 

x,y =  3 10 0.005973 -0.019484 

