x,y =  3 5 -0.000817 -0.010117 

x,y =  4 4 0.019571 -0.012569 

x,y =  4 11 0.012775 0.014835 

x,y =  2 6 -0.014409 -0.003863 

x,y =  1 4 -0.021206 -0.012569 

x,y =  2 4 -0.007613 -0.012569 

x,y =  4 6 0.012775 -0.003863 

x,y =  5 4 0.033164 -0.012569 

x,y =  3 6 -0.000817 -0.003863 

x,y =  2 5 -0.014409 -0.010117 

x,y =  1 9 -0.028002 0.008643 

x,y =  1 8 -0.028002 0.002390 

x,y =  4 8 0.012775 0.002390 

x,y =  3 7 0.005979 -0.000737 

x,y =  2 8 -0.014409 0.002390 

x,y =  1 7 -0.021206 -0.000737 

x,y =  4 5 0.012775 -0.010117 

x,y =  4 9 0.012775 0.008643 

x,y =  2 9 -0.014409 0.008643 

x,y =  3 4 0.005979 -0.012569 

x,y =  5 7 0.033164 -0.000737 

x,y =  3 11 -0.000817 0.014835 

x,y =  5 5 0.026368 -0.010117 

x,y =  5 9 0.026368 0.008643 

x,y =  2 10 -0.007613 0.011770 

x,y =  1 5 -0.028002 -0.010117 

x,y =  3 10 0.005979 0.011770 

x,y =  2 7 -0.007613 -0.000737 

x,y =  0 7 -0.034798 -0.000737 

x,y =  1 10 -0.021206 0.011770 

x,y =  1 6 -0.028002 -0.003863 

x,y =  2 12 -0.007613 0.018023 

x,y =  3 8 -0.000817 0.002390 

x,y =  4 7 0.019571 -0.000737 

x,y =  0 4 -0.034798 -0.012569 

x,y =  5 6 0.026368 -0.003863 

x,y =  4 10 0.019571 0.011770 

x,y =  3 9 -0.000817 0.008643 

x,y =  2 11 -0.014409 0.014835 

x,y =  5 8 0.026368 0.002390 

x,y =  3 12 0.005979 0.018023 

