x,y =  5 4 0.033147 -0.008499 

x,y =  2 8 -0.014400 0.006455 

x,y =  2 6 -0.014400 0.000204 

x,y =  1 5 -0.027985 -0.006047 

x,y =  2 11 -0.014400 0.018896 

x,y =  4 4 0.019562 -0.008499 

x,y =  2 12 -0.007608 0.022083 

x,y =  3 9 -0.000815 0.012706 

x,y =  3 7 0.005977 0.003330 

x,y =  3 6 -0.000815 0.000204 

x,y =  3 5 -0.000815 -0.006047 

x,y =  2 10 -0.007608 0.015832 

x,y =  1 8 -0.027985 0.006455 

x,y =  4 7 0.019562 0.003330 

x,y =  2 5 -0.014400 -0.006047 

x,y =  3 11 -0.000815 0.018896 

x,y =  5 5 0.026355 -0.006047 

x,y =  1 4 -0.021192 -0.008499 

x,y =  5 3 0.026355 -0.010950 

x,y =  4 11 0.012770 0.018896 

x,y =  1 6 -0.027985 0.000204 

x,y =  3 8 -0.000815 0.006455 

x,y =  3 4 0.005977 -0.008499 

x,y =  4 5 0.012770 -0.006047 

x,y =  4 3 0.012770 -0.010950 

x,y =  5 8 0.026355 0.006455 

x,y =  2 9 -0.014400 0.012706 

x,y =  1 7 -0.021192 0.003330 

x,y =  2 4 -0.007608 -0.008499 

x,y =  4 8 0.012770 0.006455 

x,y =  2 3 -0.014400 -0.010950 

x,y =  4 6 0.012770 0.000204 

x,y =  2 7 -0.007608 0.003330 

x,y =  4 9 0.012770 0.012706 

x,y =  1 3 -0.027985 -0.010950 

x,y =  3 12 0.005977 0.022083 

x,y =  0 4 -0.034777 -0.008499 

x,y =  5 7 0.033147 0.003330 

x,y =  3 10 0.005977 0.015832 

x,y =  5 6 0.026355 0.000204 

x,y =  0 7 -0.034777 0.003330 

x,y =  1 9 -0.027985 0.012706 

x,y =  4 10 0.019562 0.015832 

x,y =  1 10 -0.021192 0.015832 

x,y =  5 9 0.026355 0.012706 

